discouraged_ability,alpha,test_ability,score,baseline,delta_pct
CEe,-2.0,KNf,156.0,233.0,-33.047210300429185
CEe,-2.0,KNn,133.0,195.0,-31.794871794871792
CEe,-2.0,KNs,205.0,266.0,-22.932330827067666
CEe,-2.0,AT,83.0,99.0,-16.161616161616163
CEe,-2.0,VO,20.0,18.0,11.11111111111111
CEe,-1.5,AS,29.0,28.0,3.571428571428571
CEe,-1.5,CEc,84.0,83.0,1.2048192771084338
CEe,-1.5,CEe,3.0,3.0,0.0
CEe,-1.5,CL,34.0,43.0,-20.930232558139537
CEe,-1.5,MCr,32.0,29.0,10.344827586206897
CEe,-1.5,MCt,132.0,138.0,-4.3478260869565215
CEe,-1.5,MCu,86.0,88.0,-2.272727272727273
CEe,-1.5,MS,25.0,20.0,25.0
CEe,-1.5,QLl,53.0,55.0,-3.6363636363636362
CEe,-1.5,QLq,51.0,61.0,-16.39344262295082
CEe,-1.5,SNs,0.0,0.0,0.0
CEe,-1.5,KNa,354.0,464.0,-23.70689655172414
CEe,-1.5,KNc,227.0,239.0,-5.02092050209205
CEe,-1.5,KNf,172.0,233.0,-26.180257510729614
CEe,-1.5,KNn,139.0,195.0,-28.717948717948715
CEe,-1.5,KNs,235.0,266.0,-11.654135338345863
CEe,-1.5,AT,104.0,99.0,5.05050505050505
CEe,-1.5,VO,20.0,18.0,11.11111111111111
CEe,-1.0,AS,33.0,28.0,17.857142857142858
CEe,-1.0,CEc,90.0,83.0,8.433734939759036
CEe,-1.0,CEe,3.0,3.0,0.0
CEe,-1.0,CL,38.0,43.0,-11.627906976744185
CEe,-1.0,MCr,29.0,29.0,0.0
CEe,-1.0,MCt,135.0,138.0,-2.1739130434782608
CEe,-1.0,MCu,89.0,88.0,1.1363636363636365
CEe,-1.0,MS,22.0,20.0,10.0
CEe,-1.0,QLl,57.0,55.0,3.6363636363636362
CEe,-1.0,QLq,56.0,61.0,-8.19672131147541
CEe,-1.0,SNs,0.0,0.0,0.0
CEe,-1.0,KNa,417.0,464.0,-10.129310344827585
CEe,-1.0,KNc,227.0,239.0,-5.02092050209205
CEe,-1.0,KNf,207.0,233.0,-11.158798283261802
CEe,-1.0,KNn,166.0,195.0,-14.871794871794872
CEe,-1.0,KNs,254.0,266.0,-4.511278195488721
CEe,-1.0,AT,100.0,99.0,1.0101010101010102
CEe,-1.0,VO,20.0,18.0,11.11111111111111
CEe,0.0,AS,28.0,28.0,0.0
CEe,0.0,CEc,83.0,83.0,0.0
CEe,0.0,CEe,3.0,3.0,0.0
CEe,0.0,CL,43.0,43.0,0.0
CEe,0.0,MCr,29.0,29.0,0.0
CEe,0.0,MCt,138.0,138.0,0.0
CEe,0.0,MCu,88.0,88.0,0.0
CEe,0.0,MS,20.0,20.0,0.0
CEe,0.0,QLl,55.0,55.0,0.0
CEe,0.0,QLq,61.0,61.0,0.0
CEe,0.0,SNs,0.0,0.0,0.0
CEe,0.0,KNa,464.0,464.0,0.0
CEe,0.0,KNc,239.0,239.0,0.0
CEe,0.0,KNf,233.0,233.0,0.0
CEe,0.0,KNn,195.0,195.0,0.0
CEe,0.0,KNs,266.0,266.0,0.0
CEe,0.0,AT,99.0,99.0,0.0
CEe,0.0,VO,18.0,18.0,0.0
CEe,0.5,AS,24.0,28.0,-14.285714285714285
CEe,0.5,CEc,79.0,83.0,-4.819277108433735
CEe,0.5,CEe,3.0,3.0,0.0
CEe,0.5,CL,43.0,43.0,0.0
CEe,0.5,MCr,27.0,29.0,-6.896551724137931
CEe,0.5,MCt,138.0,138.0,0.0
CEe,0.5,MCu,84.0,88.0,-4.545454545454546
CEe,0.5,MS,20.0,20.0,0.0
CEe,0.5,QLl,63.0,55.0,14.545454545454545
CEe,0.5,QLq,63.0,61.0,3.278688524590164
CEe,0.5,SNs,0.0,0.0,0.0
CEe,0.5,KNa,471.0,464.0,1.5086206896551724
CEe,0.5,KNc,243.0,239.0,1.6736401673640167
CEe,0.5,KNf,232.0,233.0,-0.4291845493562232
CEe,0.5,KNn,197.0,195.0,1.0256410256410255
CEe,0.5,KNs,271.0,266.0,1.8796992481203008
CEe,0.5,AT,99.0,99.0,0.0
CEe,0.5,VO,20.0,18.0,11.11111111111111
CL,-3.0,AS,26.0,28.0,-7.142857142857142
CL,-3.0,CEc,87.0,83.0,4.819277108433735
CL,-3.0,CEe,3.0,3.0,0.0
CL,-3.0,CL,41.0,43.0,-4.651162790697675
CL,-3.0,MCr,28.0,29.0,-3.4482758620689653
CL,-3.0,MCt,132.0,138.0,-4.3478260869565215
CL,-3.0,MCu,86.0,88.0,-2.272727272727273
CL,-3.0,MS,29.0,20.0,45.0
CL,-3.0,QLl,53.0,55.0,-3.6363636363636362
CL,-3.0,QLq,55.0,61.0,-9.836065573770492
CL,-3.0,SNs,0.0,0.0,0.0
CL,-3.0,KNa,338.0,464.0,-27.155172413793103
CL,-3.0,KNc,197.0,239.0,-17.573221757322173
CL,-3.0,KNf,169.0,233.0,-27.467811158798284
CL,-3.0,KNn,128.0,195.0,-34.35897435897436
CL,-3.0,KNs,188.0,266.0,-29.32330827067669
CL,-3.0,AT,112.0,99.0,13.131313131313133
CL,-3.0,VO,17.0,18.0,-5.555555555555555
CL,-2.0,AS,29.0,28.0,3.571428571428571
CL,-2.0,CEc,90.0,83.0,8.433734939759036
CL,-2.0,CEe,3.0,3.0,0.0
CL,-2.0,CL,40.0,43.0,-6.976744186046512
CL,-2.0,MCr,31.0,29.0,6.896551724137931
CL,-2.0,MCt,146.0,138.0,5.797101449275362
CL,-2.0,MCu,99.0,88.0,12.5
CL,-2.0,MS,25.0,20.0,25.0
CL,-2.0,QLl,67.0,55.0,21.818181818181817
CL,-2.0,QLq,64.0,61.0,4.918032786885246
CL,-2.0,SNs,0.0,0.0,0.0
CL,-2.0,KNa,380.0,464.0,-18.103448275862068
CL,-2.0,KNc,241.0,239.0,0.8368200836820083
CL,-2.0,KNf,195.0,233.0,-16.30901287553648
CL,-2.0,KNn,135.0,195.0,-30.76923076923077
CL,-2.0,KNs,242.0,266.0,-9.022556390977442
CL,-2.0,AT,118.0,99.0,19.19191919191919
CL,-2.0,VO,20.0,18.0,11.11111111111111
CL,-1.5,AS,29.0,28.0,3.571428571428571
CL,-1.5,CEc,92.0,83.0,10.843373493975903
CL,-1.5,CEe,3.0,3.0,0.0
CL,-1.5,CL,40.0,43.0,-6.976744186046512
CL,-1.5,MCr,31.0,29.0,6.896551724137931
CL,-1.5,MCt,140.0,138.0,1.4492753623188406
CL,-1.5,MCu,101.0,88.0,14.772727272727273
CL,-1.5,MS,25.0,20.0,25.0
CL,-1.5,QLl,59.0,55.0,7.2727272727272725
CL,-1.5,QLq,68.0,61.0,11.475409836065573
CL,-1.5,SNs,0.0,0.0,0.0
CL,-1.5,KNa,403.0,464.0,-13.14655172413793
CL,-1.5,KNc,251.0,239.0,5.02092050209205
CL,-1.5,KNf,195.0,233.0,-16.30901287553648
CL,-1.5,KNn,155.0,195.0,-20.51282051282051
CL,-1.5,KNs,248.0,266.0,-6.7669172932330826
CL,-1.5,AT,113.0,99.0,14.14141414141414
CL,-1.5,VO,20.0,18.0,11.11111111111111
CL,-1.0,AS,33.0,28.0,17.857142857142858
CL,-1.0,CEc,95.0,83.0,14.457831325301203
CL,-1.0,CEe,3.0,3.0,0.0
CL,-1.0,CL,41.0,43.0,-4.651162790697675
CL,-1.0,MCr,32.0,29.0,10.344827586206897
CL,-1.0,MCt,144.0,138.0,4.3478260869565215
CL,-1.0,MCu,98.0,88.0,11.363636363636363
CL,-1.0,MS,22.0,20.0,10.0
CL,-1.0,QLl,64.0,55.0,16.363636363636363
CL,-1.0,QLq,66.0,61.0,8.19672131147541
CL,-1.0,SNs,0.0,0.0,0.0
CL,-1.0,KNa,432.0,464.0,-6.896551724137931
CL,-1.0,KNc,246.0,239.0,2.928870292887029
CL,-1.0,KNf,232.0,233.0,-0.4291845493562232
CL,-1.0,KNn,174.0,195.0,-10.76923076923077
CL,-1.0,KNs,264.0,266.0,-0.7518796992481203
CL,-1.0,AT,107.0,99.0,8.080808080808081
CL,-1.0,VO,22.0,18.0,22.22222222222222
CL,0.0,AS,28.0,28.0,0.0
CL,0.0,CEc,83.0,83.0,0.0
CL,0.0,CEe,3.0,3.0,0.0
CL,0.0,CL,43.0,43.0,0.0
CL,0.0,MCr,29.0,29.0,0.0
CL,0.0,MCt,138.0,138.0,0.0
CL,0.0,MCu,88.0,88.0,0.0
CL,0.0,MS,20.0,20.0,0.0
CL,0.0,QLl,55.0,55.0,0.0
