discouraged_ability,alpha,test_ability,score,baseline,delta_pct
CEe,-3.0,CEc,188.0,316.0,-40.50632911392405
CEe,-3.0,CEe,18.0,30.0,-40.0
CEe,-3.0,CL,136.0,252.0,-46.03174603174603
CEe,-3.0,MCr,105.0,193.0,-45.59585492227979
CEe,-3.0,MCt,200.0,376.0,-46.808510638297875
CEe,-3.0,MCu,228.0,426.0,-46.478873239436616
CEe,-3.0,MS,58.0,86.0,-32.55813953488372
CEe,-3.0,QLl,128.0,236.0,-45.76271186440678
CEe,-3.0,QLq,54.0,117.0,-53.84615384615385
CEe,-3.0,SNs,0.0,0.0,0.0
CEe,-3.0,KNa,258.0,517.0,-50.09671179883946
CEe,-3.0,KNc,193.0,317.0,-39.11671924290221
CEe,-3.0,KNf,132.0,266.0,-50.37593984962406
CEe,-3.0,KNn,132.0,274.0,-51.82481751824818
CEe,-3.0,KNs,201.0,346.0,-41.90751445086705
CEe,-3.0,AT,201.0,350.0,-42.57142857142857
CEe,-3.0,VO,48.0,84.0,-42.857142857142854
CEe,-2.0,AS,153.0,229.0,-33.18777292576419
CEe,-2.0,CEc,243.0,316.0,-23.10126582278481
CEe,-2.0,CEe,24.0,30.0,-20.0
CEe,-2.0,CL,181.0,252.0,-28.174603174603174
CEe,-2.0,MCr,148.0,193.0,-23.316062176165804
CEe,-2.0,MCt,280.0,376.0,-25.53191489361702
CEe,-2.0,MCu,311.0,426.0,-26.995305164319248
CEe,-2.0,MS,77.0,86.0,-10.465116279069768
CEe,-2.0,QLl,183.0,236.0,-22.45762711864407
CEe,-2.0,QLq,72.0,117.0,-38.46153846153847
CEe,-2.0,SNs,0.0,0.0,0.0
CEe,-2.0,KNa,385.0,517.0,-25.53191489361702
CEe,-2.0,KNc,276.0,317.0,-12.933753943217665
CEe,-2.0,KNf,191.0,266.0,-28.195488721804512
CEe,-2.0,KNn,192.0,274.0,-29.927007299270077
CEe,-2.0,KNs,270.0,346.0,-21.965317919075144
CEe,-2.0,AT,254.0,350.0,-27.42857142857143
